quantity,riboflavin,chromium,o3_epa_dha_dpa,name,molybdenum,vitamin_k1,potassium,manganese,iodine,niacin_ne,quantity_unit,vitamin_c,mercury,copper,vitamin_b6,calories,vitamin_b12,price,biotin,thiamin,iron,price_100g,folate_dfe,vit_e_a_tocopherol,zinc,pantothenic_acid,calcium,protein,id,magnesium,edible_portion,phosphorus,selenium,vitamin_a_rae
15.0,0.4,0.0,0.0,Herb; thyme; dried; ground,0.0,0.0,814.0,7.87,2.3,8.04,g,0.0,0.0,0.86,1.21,273.73,0.0,239.0,0.0,0.51,124.0,1593,0.274,7.48,6.18,0.0,1890.0,9.13,24,220.0,1.0,201.0,0.0046,380.84
40.0,0.27,0.0,0.0,Spice; cloves; ground,0.0,0.0,1.1e3,30.033,50.7,1.46,g,80.8,0.0,0.35,0.0,312.8,0.0,239.0,0.0,0.12,8.68,598,0.093,8.82,1.09,0.0,646.0,5.98,23,264.0,1.0,105.0,0.002,16.03
8.0,1.23,0.0,0.0,Herb; parsley; dried,0.0,0.0,3.8e3,10.5,1.8,10.43,g,122.0,0.0,0.64,1.0,209.4,0.0,399.0,0.0012,0.17,97.9,4988,0.18,9.15,4.75,1.61,1470.0,22.4,32,249.0,1.0,351.0,0.005,193.8
20.0,0.32,0.0,0.0,Herb; rosemary; dried,0.0,0.0,955.0,1.87,2.3,3.5,g,61.2,0.0,0.55,0.38,342.08,0.0,239.0,0.0021,0.51,29.3,1195,0.307,9.15,3.23,1.61,1280.0,4.88,17,220.0,1.0,70.0,0.0046,313.96
10.0,0.28,0.0,0.0,Herb; dill weed; dried,0.0,0.0,3310.0,3.95,2.3,6.15,g,50.0,0.0,0.49,1.46,283.68,0.0,400.0,0.0,0.42,48.8,4000,0.0,9.27,3.3,0.0,1780.0,20.0,50,451.0,1.0,543.0,0.0,587.17
10.0,1.2,0.0,0.0,Herb; basil; dried,0.0,0.0,2630.0,9.8,1.8,9.32,g,0.8,0.0,2.1,1.34,167.83,0.0,399.0,0.0,0.08,89.8,3990,0.31,10.78,7.1,0.84,2240.0,22.98,5,711.0,1.0,274.0,0.003,72.56
450.0,0.07,0.034,0.0,Nut; walnut; raw,0.0325,0.0,575.0,4.09,9.0,5.85,g,3.1,0.0,1.59,0.92,699.36,0.0,900.0,0.0025,0.32,3.3,200,0.066,15.0,2.3,1.13,129.0,25.71,9,97.9,1.0,320.0,0.058,3.51
125.0,0.08,0.021,0.0,Nut; hazelnut; raw,0.0605,0.0,900.0,7.69,17.0,6.7,g,1.0,0.0,1.29,0.16,618.38,0.0,449.0,0.076,0.48,1.95,359,0.113,17.4,2.1,1.86,179.0,14.79,33,64.9,1.0,280.0,0.076,2.67
450.0,1.01,0.0,0.0,Nut; almond; raw; dried; unblanched,0.0,0.0,705.0,2.285,2.0,6.95,g,0.0,0.0,1.0,0.14,548.22,0.0,900.0,0.0,0.21,3.72,200,0.05,26.34,3.08,0.47,264.0,21.22,54,268.0,1.0,484.0,0.0025,0.17
40.0,1.74,0.0,0.0,Spice; paprika,0.0,0.0,2340.0,0.843,3.0,18.4,g,71.1,0.0,0.61,2.06,315.11,0.0,239.0,0.0,0.65,23.6,598,0.049,29.83,4.06,1.78,177.0,14.73,41,185.0,1.0,345.0,0.0,4935.27
40.0,0.92,0.0,0.0,Spice; pepper; red or cayenne,0.0,0.0,2010.0,2.0,6.0,10.72,g,76.4,0.0,0.37,2.45,329.83,0.0,239.0,0.0,0.33,7.8,598,0.106,29.83,2.48,0.0,148.0,12.0,61,152.0,1.0,293.0,0.004,4175.0
100.0,0.25,0.0,0.0,Seed; sunflower; dry roasted; no salt added,0.0,0.0,850.0,2.11,4.2,12.14,g,1.4,0.0,1.83,0.8,593.26,0.0,139.0,0.0,0.11,3.8,139,0.2374,39.1,5.29,7.04,70.0,19.38,43,129.0,1.0,1160.0,0.051,2.51
